id_partido,fecha,equipo_local,equipo_visitante,ratio_local_pct_anota_1inn_local,local_pct_anota_1inn_local,ratio_local_pct_anota_1inn_ult15,local_pct_anota_1inn_ult15,ratio_visit_pct_anota_1inn_visit,visit_pct_anota_1inn_visit,ratio_visit_pct_anota_1inn_ult15,visit_pct_anota_1inn_ult15,ratio_pitcher_local_pct_permite_carrera,pitcher_local_pct_permite_carrera,pitcher_local_pct_permite_carrera_suavizado,ratio_pitcher_visit_pct_permite_carrera,pitcher_visit_pct_permite_carrera,pitcher_visit_pct_permite_carrera_suavizado,home_yrfi_target,away_yrfi_target,game_yrfi_target
778539,2025-03-29,146,134,0/2,0.0,0/2,0.0,0/2,0.0,0/2,0.0,0/0,0.18518518518518517,0.18518518518518517,0/0,0.18518518518518517,0.18518518518518517,0,1,1
778534,2025-03-29,145,108,0/1,0.0,0/1,0.0,0/1,0.0,0/1,0.0,0/0,0.19642857142857142,0.19642857142857142,0/0,0.19642857142857142,0.19642857142857142,0,0,0
778538,2025-03-29,147,158,1/1,1.0,1/1,1.0,0/1,0.0,0/1,0.0,0/0,0.1896551724137931,0.1896551724137931,0/0,0.1896551724137931,0.1896551724137931,1,0,1
778544,2025-03-29,119,116,0/1,0.0,0/3,0.0,0/1,0.0,0/1,0.0,0/1,0.0,0.19047619047619047,0/0,0.2,0.2,0,0,0
778542,2025-03-29,135,144,1/2,0.5,1/2,0.5,1/2,0.5,1/2,0.5,0/0,0.1935483870967742,0.1935483870967742,0/0,0.1935483870967742,0.1935483870967742,1,0,1
778541,2025-03-29,136,133,0/1,0.0,0/1,0.0,0/1,0.0,0/1,0.0,0/0,0.203125,0.203125,0/0,0.203125,0.203125,0,0,0
778543,2025-03-29,109,112,1/1,1.0,1/1,1.0,0/1,0.0,0/3,0.0,0/0,0.19696969696969696,0.19696969696969696,0/0,0.19696969696969696,0.19696969696969696,0,0,0
778518,2025-03-29,117,121,0/2,0.0,0/2,0.0,0/2,0.0,0/2,0.0,0/0,0.19117647058823528,0.19117647058823528,0/0,0.19117647058823528,0.19117647058823528,0,0,0
778550,2025-03-29,140,111,1/2,0.5,1/2,0.5,0/2,0.0,0/2,0.0,0/0,0.18571428571428572,0.18571428571428572,0/0,0.18571428571428572,0.18571428571428572,0,0,0
778528,2025-03-29,138,142,1/1,1.0,1/1,1.0,0/1,0.0,0/1,0.0,0/0,0.18055555555555555,0.18055555555555555,0/0,0.18055555555555555,0.18055555555555555,1,0,1
778514,2025-03-30,135,144,2/3,0.6666666666666666,2/3,0.6666666666666666,1/3,0.3333333333333333,1/3,0.3333333333333333,0/0,0.1891891891891892,0.1891891891891892,0/0,0.1891891891891892,0.1891891891891892,1,0,1
778513,2025-03-30,136,133,0/2,0.0,0/2,0.0,0/2,0.0,0/2,0.0,0/0,0.19736842105263158,0.19736842105263158,0/0,0.19736842105263158,0.19736842105263158,0,0,0
778515,2025-03-30,109,112,1/2,0.5,1/2,0.5,0/2,0.0,0/4,0.0,0/0,0.19230769230769232,0.19230769230769232,0/0,0.19230769230769232,0.19230769230769232,0,0,0
778516,2025-03-30,140,111,1/3,0.3333333333333333,1/3,0.3333333333333333,0/3,0.0,0/3,0.0,0/0,0.1875,0.1875,0/0,0.1875,0.1875,0,0,0
778517,2025-03-30,138,142,2/2,1.0,2/2,1.0,0/2,0.0,0/2,0.0,0/0,0.18292682926829268,0.18292682926829268,0/0,0.18292682926829268,0.18292682926829268,0,1,1
778510,2025-03-30,118,114,0/2,0.0,0/2,0.0,0/2,0.0,0/2,0.0,0/0,0.19047619047619047,0.19047619047619047,0/0,0.19047619047619047,0.19047619047619047,0,0,0
778519,2025-03-30,146,134,0/3,0.0,0/3,0.0,1/3,0.3333333333333333,1/3,0.3333333333333333,0/0,0.18604651162790697,0.18604651162790697,0/0,0.18604651162790697,0.18604651162790697,0,0,0
778527,2025-03-30,145,108,0/2,0.0,0/2,0.0,0/2,0.0,0/2,0.0,0/0,0.18181818181818182,0.18181818181818182,0/0,0.18181818181818182,0.18181818181818182,1,1,1
778522,2025-03-30,113,137,1/2,0.5,1/2,0.5,0/2,0.0,0/2,0.0,0/0,0.2,0.2,0/0,0.2,0.2,0,0,0
778525,2025-03-30,141,110,1/3,0.3333333333333333,1/3,0.3333333333333333,2/3,0.6666666666666666,2/3,0.6666666666666666,0/0,0.1956521739130435,0.1956521739130435,0/0,0.1956521739130435,0.1956521739130435,1,1,1
778523,2025-03-30,147,158,2/2,1.0,2/2,1.0,0/2,0.0,0/2,0.0,0/0,0.2127659574468085,0.2127659574468085,0/0,0.2127659574468085,0.2127659574468085,1,1,1
778526,2025-03-30,120,143,0/2,0.0,0/2,0.0,0/2,0.0,0/2,0.0,0/0,0.22916666666666666,0.22916666666666666,0/0,0.22916666666666666,0.22916666666666666,0,0,0
