equipo,total_partidos,yrfi_reales,prob_promedio,%_yrfi_real
115,116,69,0.5014492161633307,59.48275862068966
108,116,67,0.49492009471362114,57.758620689655174
109,117,66,0.49376572389916085,56.41025641025641
119,114,64,0.4940841583667781,56.14035087719298
145,113,63,0.5033775885402305,55.75221238938053
120,114,61,0.5017907796799137,53.50877192982456
147,114,60,0.49556243967072183,52.63157894736842
111,114,60,0.4957413911700934,52.63157894736842
137,114,60,0.49751132009966725,52.63157894736842
138,116,60,0.5082829433540663,51.724137931034484
146,116,60,0.50201457735546,51.724137931034484
139,115,59,0.49387098128924817,51.30434782608696
113,114,58,0.4982791167819741,50.877192982456144
112,114,58,0.4970202029080021,50.877192982456144
142,113,56,0.5043158721837799,49.557522123893804
141,114,56,0.49932377604219436,49.122807017543856
133,117,56,0.4960972082946838,47.863247863247864
144,116,55,0.5004496986405751,47.41379310344828
117,115,53,0.4986578321386312,46.08695652173913
136,115,53,0.5111435987412419,46.08695652173913
158,114,52,0.5119103058511638,45.614035087719294
110,116,52,0.5044115752722571,44.827586206896555
121,115,51,0.49461801135232925,44.34782608695652
134,115,51,0.5030083976700875,44.34782608695652
116,116,51,0.5047383616692894,43.96551724137931
143,114,50,0.49523784249935404,43.859649122807014
135,115,50,0.5102539923320961,43.47826086956522
118,113,49,0.49640755743407056,43.36283185840708
114,114,49,0.49861735874151114,42.98245614035088
140,117,49,0.5020711163548307,41.88034188034188
