fecha,id_partido,equipo_local,equipo_visitante,prob_yrfi_predicha,prob_local_anota,prob_visitante_anota,game_yrfi_real,prediccion
2025-04-25,778192,133,140,0.7576037168027359,0.5062591989686053,0.5090616722561454,0,1
2025-04-25,778182,112,143,0.7391340771903737,0.4954977006325959,0.4829242143460469,0,1
2025-04-25,778188,109,139,0.742272219851588,0.4988899510013416,0.485686266592706,1,1
2025-04-25,778191,108,134,0.7514281622968657,0.5047239218126843,0.4981145897195475,1,1
2025-04-25,778185,147,141,0.739128831564632,0.4869353528716876,0.4915432784240799,0,1
2025-04-25,778187,118,117,0.7555123112268516,0.4970796654863583,0.5138639820368672,0,1
2025-04-25,778186,142,108,0.7576806801409302,0.5048473510477806,0.5106169372781587,1,1
2025-04-25,778183,120,121,0.7396791090813057,0.4833206031418189,0.4961655283689443,0,1
2025-04-26,778181,115,113,0.7508849397426175,0.5024191626428927,0.4993475601260025,1,1
2025-04-26,778175,136,146,0.7601458978238697,0.5125533556496982,0.5079377303010829,0,1
2025-04-26,778171,137,140,0.7578961785222434,0.5115681128666739,0.5043242919730381,0,1
2025-04-26,778176,119,134,0.7468717080752569,0.4986524640014363,0.495104146825869,1,1
2025-04-26,778184,138,158,0.7570987757516134,0.5070843109499205,0.507215473874462,0,1
2025-04-26,778177,109,144,0.7556861241322754,0.4997411749524756,0.5116250556009384,0,1
2025-04-26,778169,114,111,0.7433569930124324,0.4961823525136595,0.4906033794806172,1,1
2025-04-26,778172,135,139,0.7408113182984114,0.4964010531688833,0.485327196705778,0,1
2025-04-26,778179,114,111,0.7402516189102204,0.5037579814027835,0.4765691510282829,1,1
2025-04-26,778178,133,145,0.761386270747269,0.5080190776384631,0.5149939389776104,0,1
2025-04-26,778168,116,110,0.7548371472142296,0.505290084832109,0.5044310912940386,0,1
2025-04-26,778167,118,117,0.7549797932125581,0.4994620021369275,0.5104863010730513,1,1
2025-04-26,778165,133,145,0.7659766274452756,0.5070518141653605,0.5252576654512164,1,1
2025-04-26,778159,137,140,0.7587741287431771,0.5089255878244512,0.508779392132959,1,1
2025-04-26,778174,112,143,0.7452470468780564,0.4983017526830357,0.4922187699790884,0,1
2025-04-26,778180,116,110,0.7567674089104178,0.502656526843778,0.5109363966395519,0,1
2025-04-26,778161,115,113,0.7534952718332226,0.5000802548776089,0.5069113981356594,0,1
