Umbral,Total Partidos,Predicciones YRFI,Aciertos YRFI,Precisión,Cobertura,Rentabilidad %
0.7,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
0.72,1723,1704,843,49.471830985915496,98.89727219965178,-6.003521126760569
0.74,1723,1423,715,50.24595924104006,82.58850841555426,-4.532677442023891
0.75,1723,933,461,49.41050375133976,54.14973882762624,-6.120042872454457
0.76,1723,307,153,49.8371335504886,17.817759721416135,-5.30944625407167
0.78,1723,10,5,50.0,0.5803830528148578,-5.000000000000004
0.8,1723,0,0,0.0,0.0,-100.0
