fecha,id_partido,equipo_local,equipo_visitante,prob_yrfi_predicha,prob_local_anota,prob_visitante_anota,game_yrfi_real,home_yrfi_target,away_yrfi_target,prediction,prediccion_local,prediccion_visitante
2025-04-29,778130,121,109,0.44453377,0.37202463,0.11546487,0,0,0,0,0,0
2025-04-29,778131,143,120,0.6469275,0.16447127,0.57742625,1,1,0,1,0,1
2025-04-29,778135,134,112,0.62594104,0.5145248,0.22949922,0,0,0,1,0,0
2025-04-30,778102,115,144,0.75846714,0.4474625,0.5628661,0,0,0,1,0,1
2025-04-30,778122,140,133,0.9539642,0.7324378,0.82794344,0,0,0,1,1,1
2025-04-30,778124,117,116,0.68943083,0.6646864,0.073794864,1,0,1,1,1,0
2025-04-30,778120,115,144,0.90936625,0.46450564,0.83074754,0,0,0,1,0,1
2025-04-30,778121,136,108,0.8375289,0.72897124,0.40053916,0,0,0,1,1,0
2025-04-30,778126,135,137,0.45749027,0.16472757,0.35049963,1,1,0,0,0,0
2025-04-30,778123,119,146,0.8138605,0.7904472,0.11172976,1,1,1,1,1,0
2025-04-30,778134,113,138,0.6188873,0.59473366,0.059599407,1,0,1,1,1,0
2025-04-30,778119,113,138,0.6134734,0.5055885,0.21820873,1,0,1,1,0,0
2025-04-30,778110,117,116,0.23024428,0.18344216,0.05731636,1,1,0,0,0,0
2025-04-30,778109,119,146,0.4057241,0.3497196,0.08612351,0,0,0,0,0,0
2025-04-30,778105,135,137,0.7879569,0.41670242,0.63647527,0,0,0,1,0,1
2025-04-30,778116,114,142,0.7963548,0.28136343,0.7166228,0,0,0,1,0,1
2025-04-30,778115,110,147,0.43823212,0.29644537,0.20152913,1,0,1,0,0,0
2025-04-30,778112,134,112,0.7772599,0.14406434,0.73977005,1,1,0,1,0,1
2025-04-30,778118,143,120,0.86724186,0.5493398,0.7054142,1,1,0,1,0,1
2025-04-30,778113,139,118,0.53742456,0.49559334,0.0829316,1,0,1,0,0,0
2025-04-30,778114,141,111,0.68407845,0.6465844,0.10609051,1,0,1,1,1,0
2025-04-30,778117,121,109,0.8920176,0.55767334,0.7558764,0,0,0,1,1,1
2025-04-30,778111,145,158,0.59156036,0.44739735,0.26088014,1,0,1,1,0,0
2025-04-30,778104,136,108,0.842071,0.75061816,0.36671805,1,0,1,1,1,0
2025-05-01,778103,121,109,0.71363807,0.384677,0.5346152,0,0,0,1,0,0
2025-05-01,778106,140,133,0.5606108,0.31573352,0.3578682,0,0,0,1,0,0
2025-05-01,778097,139,118,0.64212334,0.48596314,0.30379185,1,1,0,1,0,0
2025-05-01,778107,113,138,0.7248198,0.27629575,0.61976147,0,0,0,1,0,1
2025-05-01,778100,134,112,0.91946465,0.79146874,0.6137971,1,1,0,1,1,1
2025-05-01,778099,143,120,0.39611495,0.14546232,0.29331958,0,0,0,0,0,0
2025-05-01,778096,140,133,0.64164287,0.49972036,0.28368637,1,0,1,1,0,0
2025-05-01,778095,141,111,0.497092,0.4051636,0.15454403,0,0,0,0,0,0
2025-05-01,778094,145,158,0.82411695,0.6412107,0.5097873,1,1,0,1,1,0
2025-05-01,778108,114,142,0.7039037,0.6164892,0.22793233,1,1,0,1,1,0
2025-05-02,778093,110,118,0.721027,0.5866518,0.32508963,0,0,0,1,1,0
2025-05-02,778101,108,116,0.8798369,0.84603286,0.21955362,0,0,0,1,1,0
2025-05-02,778098,137,115,0.47046643,0.3352289,0.2034347,1,1,0,0,0,0
2025-05-02,778087,113,120,0.74199647,0.67517763,0.20570882,1,1,0,1,1,0
2025-05-02,778086,143,109,0.75898945,0.67418903,0.26027483,1,1,0,1,1,0
2025-05-02,778090,134,135,0.80600035,0.75172657,0.21860495,0,0,0,1,1,0
2025-05-02,778088,147,139,0.8653568,0.78654534,0.3692188,0,0,0,1,1,0
2025-05-02,778089,111,142,0.9331589,0.8904726,0.38973165,1,1,0,1,1,0
2025-05-02,778091,146,133,0.4621212,0.14747886,0.36907274,0,0,0,0,0,0
2025-05-02,778092,144,119,0.6710187,0.47868007,0.36894554,0,0,0,1,0,0
2025-05-02,778079,145,117,0.61071026,0.2500182,0.4809344,1,1,0,1,0,0
2025-05-02,778081,141,114,0.9077889,0.5319764,0.80297756,0,0,0,1,0,1
2025-05-03,778066,145,117,0.8622848,0.5907636,0.6634824,1,1,0,1,1,1
2025-05-03,778083,140,136,0.34826207,0.21235645,0.1725471,0,0,0,0,0,0
2025-05-03,778065,134,135,0.85147476,0.8381462,0.08234931,0,0,0,1,1,0
2025-05-03,778084,138,121,0.7918293,0.74337393,0.18881688,1,1,0,1,1,0
2025-05-03,778085,108,116,0.87643117,0.84405845,0.20759524,1,1,0,1,1,0
2025-05-03,778082,137,115,0.71006393,0.6338171,0.20822076,0,0,0,1,1,0
2025-05-03,778074,147,139,0.86773103,0.43921304,0.7641369,1,1,0,1,0,1
2025-05-03,778064,141,114,0.50885606,0.27834156,0.31942326,1,1,0,0,0,0
2025-05-03,778080,158,112,0.5473778,0.42369497,0.2146135,1,0,1,0,0,0
2025-05-03,778069,137,115,0.6235906,0.56023395,0.14406902,0,0,0,1,1,0
2025-05-03,778075,146,133,0.8371653,0.46131423,0.6977186,1,0,1,1,0,1
2025-05-03,778078,143,109,0.47738916,0.29207253,0.26177344,0,0,0,0,0,0
2025-05-03,778077,113,120,0.7579443,0.6908574,0.21700956,1,1,1,1,1,0
2025-05-03,778070,140,136,0.8086737,0.76275957,0.19353405,1,0,1,1,1,0
